Rk,Team,Rec,F+,OF+,Rk,DF+,Rk,FEI,Rk,SP+,Rk
118,Duke,2-9,-1.42,-1.15,112,-1.30,115,-.91,124,-13.5,113
119,UL Monroe,3-8,-1.42,-1.46,124,-.95,110,-.61,111,-20.1,124
120,Vanderbilt,2-9,-1.42,-1.19,114,-1.08,111,-.65,113,-19.4,122
121,Arkansas State,1-10,-1.46,-.97,106,-1.78,124,-.76,116,-17.8,119
122,New Mexico,2-9,-1.58,-2.34,130,-.43,97,-.86,123,-18.6,120
123,Kansas,1-10,-1.60,-.63,89,-2.07,126,-.84,120,-19.7,123
124,Rice,3-8,-1.68,-1.23,118,-1.30,117,-.78,117,-22.9,126
125,New Mexico State,1-10,-1.86,-1.11,110,-2.21,127,-.93,125,-24.2,128
126,Temple,2-9,-1.89,-1.52,125,-1.30,116,-1.19,127,-19.0,121
127,Florida International,0-11,-2.06,-1.40,123,-2.05,125,-1.26,128,-21.6,125
128,Connecticut,0-10,-2.13,-2.14,128,-1.65,122,-1.16,126,-25.6,129
129,Akron,1-10,-2.19,-1.39,122,-2.41,129,-1.34,129,-23.0,127
130,Massachusetts,1-9,-2.45,-1.79,126,-2.51,130,-1.35,130,-29.3,130

